,obsHistID,sessionID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,finRank,FWHMeff,FWHMgeom,transparency,airmass,vSkyBright,filtSkyBrightness,rotSkyPos,rotTelPos,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,phaseAngle,rScatter,mieScatter,moonIllum,moonBright,darkBright,rawSeeing,wind,humidity,slewDist,slewTime,fiveSigmaDepth,ditheredRA,ditheredDec,count
881849,881734,1016,54,1000,5.718053,-0.674641,r,111902122,60875.163452,1295,34.0,30.0,5.316636,0.843073,0.745006,0.0,1.229623,21.41094,21.13094,1.603552,0.042188,4.979385,0.949732,2.012708,1.543629,149.470243,0.67866,0.341504,-0.517141,1.456176,36.45287,-1.302101,4.107457,105.720365,243001.006921,8687.882729,0.001461,0.0,92.914347,0.526954,0.0,0.0,0.054995,4.764118,24.317213,5.70827493040937,-0.64819,257
884864,884749,1016,54,1000,5.718053,-0.674641,u,112158131,60878.126519,1298,34.0,30.0,4.539277,1.053702,0.918143,0.0,1.382609,21.316287,21.976287,2.268356,0.601133,4.7983,0.80853,2.022336,2.214967,151.084688,1.46273,0.496421,-1.398885,1.706433,8.956787,-1.113954,4.430195,145.171404,325450.400662,949.060828,0.000175,0.0,101.378154,0.565541,0.0,0.0,0.048198,4.667045,23.053237,5.722942034795315,-0.64819,258
884874,884759,1016,54,1000,5.718053,-0.674641,u,112158521,60878.131034,1298,34.0,30.0,4.53109,1.040718,0.90747,0.0,1.354331,21.332664,21.992664,2.269931,0.618371,4.82675,0.830656,2.019456,2.216334,151.08705,1.464455,0.4965,-1.375984,1.677501,8.92699,-1.13738,4.400847,145.231234,325751.322741,944.790753,0.000174,0.0,99.860449,0.565541,0.0,0.0,0.048198,4.731024,23.085538,5.722942034795315,-0.64819,259
887067,886951,1016,54,1000,5.718053,-0.674641,g,112336113,60880.186504,1300,34.0,30.0,4.519149,0.747682,0.666595,0.0,1.106036,21.499801,21.909801,2.798024,1.411226,5.210636,1.129342,2.047054,2.629433,152.104389,2.030041,0.447086,-1.482982,2.72909,0.532369,-1.370701,3.590878,171.631547,416901.391652,241.887912,2e-05,0.0,85.612762,0.44376,0.0,0.0,0.053179,4.851043,24.850079,5.732720104385944,-0.64819,260
887130,887014,1016,54,1000,5.718053,-0.674641,g,112338792,60880.217511,1300,34.0,30.0,9.903601,0.722803,0.646144,0.0,1.045379,21.548301,21.958301,2.647299,1.501384,5.40599,1.275074,2.17386,2.636849,152.11929,2.041163,0.445543,-1.357177,1.912056,0.488025,-1.366257,2.645616,171.988245,418346.243091,236.043328,1.9e-05,0.0,81.872542,0.44376,0.0,0.0,0.053179,4.864991,24.919995,5.732720104385944,-0.64819,261
889967,889851,1016,54,1000,5.718053,-0.674641,r,112589282,60883.116701,1303,34.0,30.0,4.534995,1.204739,1.042295,0.625,1.358481,21.330231,21.050231,0.621779,-1.032161,4.822458,0.827318,2.019862,2.663244,153.385425,2.70387,0.209923,-0.576387,4.620968,6.512066,-1.053642,4.45331,150.430608,423377.874932,216.363262,0.00012,0.0,100.084483,0.802831,0.0,0.0,0.048077,4.7013490000000004,23.876395,5.703385895614057,-0.701092,262
890011,889895,1016,54,1000,5.718053,-0.674641,r,112591157,60883.138393,1303,34.0,30.0,8.061094,1.142686,0.991288,0.625,1.243874,21.40146,21.12146,0.399265,-1.174833,4.959129,0.933895,2.012625,2.65962,153.39423,2.709486,0.207445,-0.687413,4.541341,6.624303,-1.164956,4.307147,150.171015,422697.577606,218.96508,0.000123,0.0,93.729236,0.802831,0.0,0.0,0.048077,5.088601,23.980933,5.703385895614057,-0.701092,263
890608,890492,1016,54,1000,5.718053,-0.674641,r,112681216,60884.180744,1304,34.0,30.0,4.517365,0.829201,0.733603,0.5,1.093512,21.509529,21.229529,1.3768,0.021332,5.24316,1.154236,2.059164,2.488953,153.797128,2.920692,0.101245,-0.691641,4.375111,12.928833,-1.341661,3.7024,137.852804,387432.391021,384.44835,0.000283,0.0,84.849044,0.573596,0.0,0.0,0.053179,4.855687,24.39714,5.70827493040937,-0.701092,264
895278,895161,1016,54,1000,5.718053,-0.674641,z,113104898,60889.084469,1309,34.0,30.0,4.551891,0.936113,0.821485,0.0,1.467325,20.371297,18.638241,2.030754,0.323039,4.722602,0.749831,2.032004,1.552079,155.269104,3.868959,-0.359182,0.787511,4.721257,55.867939,-0.871774,4.565955,83.260306,242912.216128,8449.091239,0.00332,136.269733,105.801304,0.581239,0.0,0.0,0.048198,4.512991,22.668259,5.732720104385944,-0.701092,265
895309,895192,1016,54,1000,5.718053,-0.674641,z,113106208,60889.099638,1309,34.0,30.0,5.554496,0.895461,0.788069,0.0,1.362668,20.441496,18.709583,1.996316,0.340004,4.818171,0.823982,2.020278,1.54998,155.272535,3.871257,-0.359913,0.707234,4.674419,56.01081,-0.952735,4.498767,83.09542,242931.220194,8507.785433,0.003338,126.604796,100.310065,0.581239,0.0,0.0,0.048077,4.691045,22.758617,5.732720104385944,-0.701092,266
896564,896447,1016,54,1000,5.718053,-0.674641,r,113203306,60890.22346,1310,34.0,30.0,4.087305,0.862825,0.761242,0.0,1.014552,20.57659,20.64034,0.289495,-0.266076,5.615499,1.401224,2.644602,1.336812,155.50342,4.109536,-0.42696,0.262531,4.365818,66.406449,-1.312649,2.586932,70.844749,255146.916007,17185.315836,0.004863,120.435105,79.931492,0.649558,0.0,0.0,0.096576,9.164989,24.094592,5.737609139181259,-0.701092,267
896603,896486,1016,54,1000,5.718053,-0.674641,r,113204927,60890.242214,1310,34.0,30.0,6.016658,0.860983,0.759728,0.0,1.010945,20.650684,20.714885,6.100331,-0.0961,5.733657,1.423521,3.219998,1.333594,155.507026,4.113673,-0.427289,0.170906,4.315921,66.575622,-1.245569,2.270888,70.6394,255481.573567,17368.691695,0.004892,107.446455,79.702543,0.649558,0.0,0.0,0.085461,12.210651,24.132142,5.737609139181259,-0.701092,268
897302,897185,1016,54,1000,5.718053,-0.674641,z,113278232,60891.090653,1311,34.0,30.0,4.43977,1.181944,1.023558,0.0,1.385076,19.764443,18.176539,1.919773,0.251242,4.795966,0.806667,2.022598,1.16032,155.651515,4.314802,-0.470106,1.145424,4.728723,74.011899,-0.901299,4.526173,61.299055,279311.259964,30758.428055,0.006366,321.827072,101.509558,0.853227,0.0,0.0,0.109817,5.538643,22.194316,5.696052343421085,-0.697786,269
897331,897214,1016,54,1000,5.718053,-0.674641,z,113279403,60891.104207,1311,34.0,30.0,5.361734,1.140359,0.989375,0.125,1.304813,19.817427,18.230441,1.882482,0.261858,4.881365,0.873211,2.015231,1.158675,155.653664,4.31684,-0.470326,1.073469,4.6869,74.126742,-0.97314,4.461389,61.148912,279587.426813,30925.744581,0.006393,306.021704,97.152068,0.853227,0.0,0.0,0.053179,4.786863,22.265357,5.696052343421085,-0.697786,270
